NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	168	1.2770342826843262	0.042551525	Yes	
row_1	EPG5	ectopic P-granules autophagy protein 5 homolog [Source:HGNC Symbol;Acc:HGNC:29331]	752	0.728685200214386	0.03294859	Yes	
row_2	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	1049	0.6202511191368103	0.038702805	Yes	
row_3	LRRK2	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	1176	0.5817331671714783	0.054645564	Yes	
row_4	MAP1LC3B2	microtubule associated protein 1 light chain 3 beta 2 [Source:HGNC Symbol;Acc:HGNC:34390]	1339	0.5379686951637268	0.0662256	Yes	
row_5	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	1416	0.5183566808700562	0.08295448	Yes	
row_6	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:8982]	1557	0.49254536628723145	0.094135575	Yes	
row_7	FNBP1L	formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851]	1779	0.453635573387146	0.098030135	Yes	
row_8	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	1865	0.440381795167923	0.110821344	Yes	
row_9	NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21576]	2015	0.41859591007232666	0.11823574	Yes	
row_10	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	2133	0.3999203145503998	0.12708274	Yes	
row_11	ATG4C	autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]	2421	0.3658180832862854	0.12265693	Yes	
row_12	PIK3CB	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]"	2662	0.3348526060581207	0.12018511	Yes	
row_13	LIX1L	limb and CNS expressed 1 like [Source:HGNC Symbol;Acc:HGNC:28715]	2804	0.31878072023391724	0.12391669	Yes	
row_14	TRAPPC8	trafficking protein particle complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:29169]	3046	0.292974591255188	0.11959672	Yes	
row_15	NBR1	NBR1 autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]	3064	0.29126226902008057	0.13078445	Yes	
row_16	ACBD5	acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338]	3734	0.22934360802173615	0.09399224	No	
row_17	SUPT20H	"SPT20 homolog, SAGA complex component [Source:HGNC Symbol;Acc:HGNC:20596]"	3779	0.22569149732589722	0.100517124	No	
row_18	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	4062	0.20444358885288239	0.08958538	No	
row_19	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]"	4134	0.19864824414253235	0.09308371	No	
row_20	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	4146	0.1980358213186264	0.10072937	No	
row_21	ZKSCAN3	zinc finger with KRAB and SCAN domains 3 [Source:HGNC Symbol;Acc:HGNC:13853]	4313	0.18526193499565125	0.0970514	No	
row_22	ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	4334	0.18372340500354767	0.103463195	No	
row_23	ATG12	autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]	4498	0.17074410617351532	0.099377304	No	
row_24	IRGM	immunity related GTPase M [Source:HGNC Symbol;Acc:HGNC:29597]	4730	0.15468665957450867	0.08987966	No	
row_25	UVRAG	UV radiation resistance associated [Source:HGNC Symbol;Acc:HGNC:12640]	4848	0.14535437524318695	0.087915	No	
row_26	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	4862	0.14400890469551086	0.093126975	No	
row_27	RAB33B	"RAB33B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16075]"	4906	0.14092415571212769	0.096121274	No	
row_28	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	5104	0.12819823622703552	0.08786353	No	
row_29	TECPR1	tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]	5279	0.1171208918094635	0.0807351	No	
row_30	SPATA18	spermatogenesis associated 18 [Source:HGNC Symbol;Acc:HGNC:29579]	5299	0.11564642190933228	0.08432516	No	
row_31	TECPR2	tectonin beta-propeller repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:19957]	5355	0.11178461462259293	0.0852472	No	
