NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CRHBP	1	CRHBP	
HTR7	1	HTR7	
BBX	1	BBX	
EXOC3-AS1	1	EXOC3-AS1	
WDR83OS	1	WDR83OS	
GSTK1	1	GSTK1	
DHDH	1	DHDH	
BCR	1	BCR	
ORAI3	1	ORAI3	
ORAI2	1	ORAI2	
VOPP1	1	VOPP1	
ORAI1	1	ORAI1	
SHMT2	1	SHMT2	
SHMT1	1	SHMT1	
B3GLCT	1	B3GLCT	
PLBD1-AS1	1	PLBD1-AS1	
RDH12	1	RDH12	
RDH11	1	RDH11	
RDH10	1	RDH10	
RDH16	1	RDH16	
RDH14	1	RDH14	
RDH13	1	RDH13	
GTF2IRD2B	1	GTF2IRD2B	
GSTM4	1	GSTM4	
GSTM3	1	GSTM3	
GSTM2	1	GSTM2	
GSTM1	1	GSTM1	
SPAG5-AS1	1	SPAG5-AS1	
DHFR	1	DHFR	
PKIB	1	PKIB	
DELEC1	1	DELEC1	
STRC	1	STRC	
STRN	1	STRN	
L1TD1	1	L1TD1	
PKIG	1	PKIG	
GTF2H2C	1	GTF2H2C	
KCNC3	1	KCNC3	
KCNC4	1	KCNC4	
BBC3	1	BBC3	
ZNF32-AS2	1	ZNF32-AS2	
NEFH	1	NEFH	
STUM	1	STUM	
MYBPC3	1	MYBPC3	
KCND1	1	KCND1	
GSTO2	1	GSTO2	
FLJ20021	1	FLJ20021	
GSTO1	1	GSTO1	
EIF1B-AS1	1	EIF1B-AS1	
PKN3	1	PKN3	
GSTP1	1	GSTP1	
SYNPO2	1	SYNPO2	
PTAFR	1	PTAFR	
KCNA2	1	KCNA2	
ADAM22	1	ADAM22	
KCNA5	1	KCNA5	
KCNA7	1	KCNA7	
SDAD1	1	SDAD1	
PAXBP1-AS1	1	PAXBP1-AS1	
ADAM28	1	ADAM28	
BORCS7-ASMT	1	BORCS7-ASMT	
ADAM23	1	ADAM23	
STX6	1	STX6	
STX5	1	STX5	
STX4	1	STX4	
STX3	1	STX3	
BID	1	BID	
STX2	1	STX2	
MBD3	1	MBD3	
MBD4	1	MBD4	
KLRK1-AS1	1	KLRK1-AS1	
MBD5	1	MBD5	
MBD6	1	MBD6	
BIK	1	BIK	
KCNB1	1	KCNB1	
MBD1	1	MBD1	
MBD2	1	MBD2	
KIAA2012	1	KIAA2012	
ADAM32	1	ADAM32	
KIAA2013	1	KIAA2013	
PKN2	1	PKN2	
MITD1	1	MITD1	
PKN1	1	PKN1	
KCNG2	1	KCNG2	
KCNG4	1	KCNG4	
FBXO27	1	FBXO27	
RASL11A	1	RASL11A	
FBXO28	1	FBXO28	
FBXO25	1	FBXO25	
GOLIM4	1	GOLIM4	
FBXO24	1	FBXO24	
FBXO21	1	FBXO21	
FBXO22	1	FBXO22	
FADS3	1	FADS3	
FADS2	1	FADS2	
POTEM	1	POTEM	
POFUT2	1	POFUT2	
PTAR1	1	PTAR1	
FNTA	1	FNTA	
POFUT1	1	POFUT1	
POTEI	1	POTEI	
FNTB	1	FNTB	
TNFRSF8	1	TNFRSF8	
NEK1	1	NEK1	
POTEE	1	POTEE	
NEK2	1	NEK2	
POTEF	1	POTEF	
NEK3	1	NEK3	
TNFRSF4	1	TNFRSF4	
FADS1	1	FADS1	
PIAS4	1	PIAS4	
PIAS3	1	PIAS3	
KCNH4	1	KCNH4	
DGAT2	1	DGAT2	
DGAT1	1	DGAT1	
STX8	1	STX8	
STX7	1	STX7	
FBXO17	1	FBXO17	
FBXO15	1	FBXO15	
FBXO10	1	FBXO10	
NEAT1	1	NEAT1	
FBXO11	1	FBXO11	
PIAS2	1	PIAS2	
PIAS1	1	PIAS1	
LENG1	1	LENG1	
MINPP1	1	MINPP1	
DMTF1	1	DMTF1	
PKP4	1	PKP4	
KCNE1	1	KCNE1	
BLM	1	BLM	
KCNE3	1	KCNE3	
KCNE4	1	KCNE4	
ZC4H2	1	ZC4H2	
KCNE5	1	KCNE5	
IREB2	1	IREB2	
GSTT2	1	GSTT2	
FBXO48	1	FBXO48	
FBXO45	1	FBXO45	
FBXO46	1	FBXO46	
FBXO43	1	FBXO43	
FBXO44	1	FBXO44	
FBXO41	1	FBXO41	
CCDC144A	1	CCDC144A	
FBXO42	1	FBXO42	
NPAS3	1	NPAS3	
FAM111A-DT	1	FAM111A-DT	
MBIP	1	MBIP	
BMF	1	BMF	
NEK8	1	NEK8	
NEK9	1	NEK9	
SDF2L1	1	SDF2L1	
RASL10A	1	RASL10A	
NEK4	1	NEK4	
NEK5	1	NEK5	
TNFRSF9	1	TNFRSF9	
NEK6	1	NEK6	
FBXO38	1	FBXO38	
NEK7	1	NEK7	
STYX	1	STYX	
FBXO36	1	FBXO36	
FBXO34	1	FBXO34	
CSNK1G2-AS1	1	CSNK1G2-AS1	
FBXO32	1	FBXO32	
FBXO33	1	FBXO33	
FBXO30	1	FBXO30	
FBXO31	1	FBXO31	
DRAP1	1	DRAP1	
MNAT1	1	MNAT1	
SLC49A4	1	SLC49A4	
SLC49A3	1	SLC49A3	
BCAR3	1	BCAR3	
KCNK6	1	KCNK6	
PIWIL4	1	PIWIL4	
KCNK7	1	KCNK7	
ALAS1	1	ALAS1	
ONECUT2	1	ONECUT2	
ONECUT3	1	ONECUT3	
EDRF1-DT	1	EDRF1-DT	
PPWD1	1	PPWD1	
NENF	1	NENF	
TNFSF13B	1	TNFSF13B	
SPDL1	1	SPDL1	
NEO1	1	NEO1	
BCAS2	1	BCAS2	
BCAS1	1	BCAS1	
BOK	1	BOK	
SLC36A1	1	SLC36A1	
BCAS4	1	BCAS4	
BCAS3	1	BCAS3	
SLC36A3	1	SLC36A3	
PIANP	1	PIANP	
VPS13C	1	VPS13C	
VPS13D	1	VPS13D	
DHPS	1	DHPS	
VPS13A	1	VPS13A	
VPS13B	1	VPS13B	
HTR3B	1	HTR3B	
CCDC183-AS1	1	CCDC183-AS1	
RABGGTB	1	RABGGTB	
RABGGTA	1	RABGGTA	
NEMF	1	NEMF	
C1D	1	C1D	
BCAT1	1	BCAT1	
BCAT2	1	BCAT2	
TOLLIP-DT	1	TOLLIP-AS1	
C1S	1	C1S	
C1R	1	C1R	
LENG9	1	LENG9	
LENG8	1	LENG8	
U2AF1	1	U2AF1	
IL2RG	1	IL2RG	
DRAM1	1	DRAM1	
U2AF2	1	U2AF2	
DRAM2	1	DRAM2	
TSPOAP1	1	TSPOAP1	
KCNJ1	1	KCNJ1	
BBLN	1	C9orf16	
SLC36A4	1	SLC36A4	
KCNJ2	1	KCNJ2	
KCNJ5	1	KCNJ5	
KCNJ6	1	KCNJ6	
COL26A1	1	COL26A1	
GPKOW	1	GPKOW	
GSTZ1	1	GSTZ1	
BCAR1	1	BCAR1	
KCNK3	1	KCNK3	
CDRT15	1	CDRT15	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
CERK	1	CERK	
LGALSL	1	LGALSL	
CCP110	1	CCP110	
PEX26	1	PEX26	
C4B	1	C4B	
LGALS3	1	LGALS3	
C4A	1	C4A	
LGALS1	1	LGALS1	
BSG	1	BSG	
ATXN7L1	1	ATXN7L1	
LGALS9	1	LGALS9	
LGALS8	1	LGALS8	
ATXN7L2	1	ATXN7L2	
BSN	1	BSN	
ATXN7L3	1	ATXN7L3	
GOLPH3L	1	GOLPH3L	
DRAIC	1	DRAIC	
CFDP1	1	CFDP1	
BTD	1	BTD	
SOAT1	1	SOAT1	
CRISPLD1	1	CRISPLD1	
CRISPLD2	1	CRISPLD2	
KCNQ1	1	KCNQ1	
SUB1	1	SUB1	
NINJ2	1	NINJ2	
NINJ1	1	NINJ1	
BTK	1	BTK	
KCNQ3	1	KCNQ3	
KCNQ5	1	KCNQ5	
CES3	1	CES3	
CES2	1	CES2	
CES1	1	CES1	
CETP	1	CETP	
DHX8	1	DHX8	
DHX9	1	DHX9	
ZBTB1	1	ZBTB1	
ZBTB5	1	ZBTB5	
